,categories_textform,short_name,price,sales_count
323,DAIRY,Olay,27.99,110.0
324,COOKIES,Ultra Care Mint Tea Tree Toothpaste,5.89,29.0
325,GROCERIES,Tom,5.99,7.0
326,GROCERIES,Tom,5.99,7.0
327,nan,Olay Vitamin,11.99,
328,nan,Herby Chimichurri,5.99,2.0
329,GROCERIES,Invisible,8.99,140.0
330,BEVERAGES,Samsung Galaxy Buds Live True Wireless Earbud Headphones,115.98,36.0
331,nan,Mountain Dew Citrus Soda Pop,10.18,
332,nan,Schweppes Caffeine-Free Ginger Ale,18.75,
333,SNACKS,Keebler,8.94,21.0
334,BEVERAGES,Folgers Coffee,15.49,1779.0
335,nan,Zero Sugar Lemon Lime Soda,2.88,
336,nan,Essentia Bottled,14.99,
337,GROCERIES,Crest Leave-On Teeth Whitening,49.99,109.0
338,GROCERIES,Invisible,7.99,251.0
339,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
340,GROCERIES,Swedish Fish Mini Soft,7.24,328.0
341,nan,Caffeine-Free,25.0,
342,GROCERIES,Sprite Lemon Lime Soda Soft Drink,1.96,0.0
343,nan,Rainbow,7.99,
344,GROCERIES,Tide,8.49,519.0
345,nan,Squirt Caffeine-Free Soda,11.34,
346,nan,Lipton,18.5,
347,GROCERIES,Oral-B Pro,22.99,47.0
348,DAIRY,Organic Strawberry Kidstoppers Yogurt,5.49,2.0
349,nan,Diet,2.88,
350,HEALTH & MEDICINE,Advil Pm Pain Reliever,11.49,0.0
351,nan,Margherita,7.29,
352,BEVERAGES,Oral-B Glide Pro-Health Cool Mint Dental Floss,9.49,442.0
353,VITAMINS & SUPPLEMENTS,Centrum Multivitamin,21.99,0.0
354,nan,Bull Energy Drink,8.87,
355,GROCERIES,Lagunita,10.99,21.0
356,HOUSEHOLD,Febreze,3.49,147.0
357,nan,Diet Pepsi Cola Soda Pop,3.33,
358,nan,Bull Energy Drink,8.87,
359,FROZEN FOOD,Oat Milk Brown Sugar Chunk Frozen Dessert,6.99,9.0
360,DELI,Crest Pro-Health Intense Mouthwash,5.29,73.0
361,GROCERIES,Old Country,10.39,8.0
362,HEALTH CARE,Advil Pm Pain Reliever,5.09,0.0
363,nan,Pringles Potato Crisps Chips,2.24,
364,nan,Pepsi Cola Soda Pop,3.33,
365,BABY ITEMS,Unscented Body Lotion,11.79,4.0
366,PANTRY,Cinnamon Toast,5.99,47.0
367,GROCERIES,Olay Cleansing,10.99,3.0
368,nan,Glaceau Smartwater,14.86,
369,nan,Gluten Free Blueberry Pancake Bites,4.99,
370,DAIRY,Prebiotic Milk Cleanser,18.19,2.0
371,nan,Bull Energy Drink,8.87,
372,GROCERIES,Gillette Mach3,9.99,60.0
373,nan,Pringles Potato Crisps Chips,1.74,
374,nan,Apple,27.99,
375,nan,Essentia Bottled,14.99,
376,nan,Zz Bloody Mary Mix,4.48,
377,nan,Oz,27.89,
378,nan,Olay Vitamin,11.99,
379,GROCERIES,Lg,240.98,83.0
380,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
381,nan,Centrum Multivitamin,22.99,
382,FROZEN FOOD,Eggo Frozen Waffles,3.54,1527.0
383,GROCERIES,Trident,3.49,11.0
384,BABY ITEMS,Olay Lotion Moisturizer,11.99,118.0
385,COOKIES,Smartypants Prenatal,20.99,164.0
386,nan,Head,8.99,14.0
387,nan,Cactus Cooler Orange Pineapple Soda Pop,20.78,
388,nan,Gillette Skin Ultra Sensitive Shave Gel,8.99,
389,nan,Polident,8.99,
390,nan,Sensodyne Pronamel Gentle Whitening Enamel Toothpaste,8.49,
391,nan,Kellogg,5.24,27.0
392,nan,Lipton Iced Tea Mix Black Tea,10.83,
393,COLD & ALLERGY ESSENTIALS,Advil Coated Tablets Pain Ibuprofen,9.39,0.0
394,GROCERIES,Kellogg,3.54,
395,PERSONAL CARE,Sensodyne Extra Whitening Sensitive Toothpaste,14.99,0.0
396,GROCERIES,Spice Invisible,7.99,41.0
397,nan,Olay Moisture Outlast,7.99,
398,nan,Sensodyne Sensitive Teeth Rapid Relief Toothpaste,6.49,
399,nan,Bull Energy Drink,8.87,
400,DAIRY,Ben,6.01,387.0
401,nan,7Up Cherry,18.75,
402,nan,Centrum Multivitamin,22.99,
403,nan,Diet Pepsi Cola Soda Pop,3.33,
404,nan,Mountain Dew Zero Sugar Citrus Soda Pop,4.98,
405,COOKIES,Fudgy Brownie Cookie Dough,5.99,8.0
406,nan,Nature,3.74,
407,COOKIES,Clean Color Care Shampoo,5.39,27.0
408,nan,Organic Oyster Flavored Sauce,8.39,
409,HEALTH CARE,Vaseline Petroleum Jelly Original,5.29,24.0
410,nan,Multi Color Brushed Stainless Straw,2.39,
411,GROCERIES,Whole,3.49,4.0
412,BABY ITEMS,Fixodent Denture Adhesive Powder,7.99,77.0
413,GROCERIES,Trident Spearmint Sugar Free Gum,3.49,0.0
414,GROCERIES,Gillette Skinguard Men,22.99,129.0
415,PERSONAL CARE,Poligrip Additive Free Denture Adhesive Cream,6.49,0.0
416,GROCERIES,Febreze Odor-Eliminating Fade Defy,7.49,185.0
417,PERSONAL CARE,Tom,5.99,0.0
418,nan,Organic Aussie,5.99,
419,nan,Spicy,5.99,
420,nan,Glaceau Smartwater,14.86,
421,DAIRY,Orgain Organic,19.59,94.0
422,nan,Castlevania,14.99,
423,nan,Organic Blueberry Breakfast Biscuits,4.29,
424,PERSONAL CARE & PHARMACY,Olay,27.99,137.0
425,COOKIES,Organic,5.99,1.0
426,nan,Olay,6.99,
427,GROCERIES,Clinical Strength Clear Gel,11.49,218.0
428,COOKIES,Organic Roasted Premium Seaweed Snack,5.69,6.0
429,HEALTH CARE,Advil Pm Pain Reliever,12.79,0.0
430,nan,Caffeine-Free,48.63,
431,VITAMINS & SUPPLEMENTS,Centrum Multigummies Men,20.99,182.0
432,GROCERIES,Febreze Odor-Eliminating Fade Defy,7.49,185.0
433,nan,Ghee Clarified Butter,12.49,2.0
434,BEVERAGES,Pale Ale,19.49,22.0
435,GROCERIES,Bower,14.99,2.0
436,nan,Chocolate Chip Cookie Dough,4.99,2.0
437,nan,Jvc Headphones,14.99,
438,nan,Truffle Mushroom,11.79,
439,GROCERIES,Old Country,10.39,8.0
440,nan,7Up Cherry,18.75,
441,BEVERAGES,Cooler,53.98,34.0
442,nan,Polident,8.99,
443,nan,Orgain Grass Fed Hydrolyzed Collagen Peptides Protein Powder,23.19,10.0
444,nan,Advil Coated Caplets,13.29,
445,PANTRY,Cinnamon Toast,6.49,47.0
446,GROCERIES,Aloe Vera Gel Tube,4.49,6.0
447,GROCERIES,Ninja,205.98,37.0
448,DAIRY,Pringles Potato Crisps Chips,1.74,33.0
449,COOKIES,Dark Chocolate Sunflower Seed Butter Pouch,1.29,3.0
450,nan,Himalayan Pink,12.49,3.0
451,nan,Maxi Pads Overnight Withwings,5.39,
452,BABY ITEMS,Olay Anti-Aging Face Moisturizer,27.99,139.0
453,DAIRY,Cilantro Lime Rice,3.99,2.0
454,PERSONAL CARE & PHARMACY,Gillette Antiperspirant Deodorant,5.49,143.0
455,BAKING ESSENTIALS,Truvia Calorie Free Sweetener,3.94,63.0
456,FROZEN FOOD,Eggo Frozen Waffles,8.79,774.0
457,nan,Cheez-It Cheese Crackers,4.04,
458,nan,Castlevania,14.99,
459,nan,Bare Smooth Almond Butter,11.99,
460,COOKIES,Spice Deodorant,7.49,37.0
461,GROCERIES,Fanta Orange Soda,2.75,0.0
462,HEALTH CARE,Vicks Zzzquil Pure Zzzs Melatonin Sleep,10.49,21.0
463,HOUSEHOLD,Febreze Odor-Eliminating,4.49,84.0
464,COOKIES,Olay Ultimate Eye Cream,30.99,225.0
465,HEALTH CARE,Advil Pain Reliever,10.99,31.0
466,DAIRY,Orgain Organic,19.59,94.0
467,DAIRY,Olay Firming Cream,7.49,131.0
468,COOKIES,Ready,4.49,7.0
469,FROZEN FOOD,Cookies,6.99,9.0
470,GROCERIES,Organic Classic Mild Cheddar Macaroni,2.99,2.0
471,nan,Eone Inglourious Basterds,18.99,
472,nan,7Up Cherry,18.75,
473,GRAINS,Biotin,8.29,4.0
474,COOKIES,Organic Dark Roasted Creamy Peanut Butter Spread,5.99,3.0
475,PERSONAL CARE,Sensodyne Extra Whitening Sensitive Toothpaste,13.89,0.0
476,nan,Organic Vanilla Cashew Milk Yogurt,2.19,
477,nan,Roast K-Cup,11.49,
478,GROCERIES,Delhi Potatoes,3.49,6.0
479,GROCERIES,Insignia Black,105.98,3.0
480,COOKIES,Deodorant,8.49,45.0
481,nan,Diet Dr Pepper Soda,12.94,
482,nan,Propel Electrolyte,1.0,
483,FROZEN FOOD,Eggo Frozen,3.54,55.0
484,PERSONAL CARE,Colgate Toothpaste,3.0,36.0
485,nan,Caesar,4.99,
486,GROCERIES,Shark Self-Cleaning Brushroll Pet Upright Vacuum,205.98,2.0
487,SNACKS & CANDY,Pringles Potato Crisps Chips,1.74,466.0
488,nan,Centrum Multivitamin,22.99,
489,nan,Lipton Iced Tea Mix Black Tea,10.83,
490,GROCERIES,Derma+ Invisible Gel Antiperspirant,8.99,75.0
491,TOYS,Sega Puyo Puyo Tetris,30.98,1.0
492,nan,Pringles Potato Crisps Chips,1.74,
493,COOKIES,Nordic Omega,30.09,4.0
494,BREAD & BAKERY,Style Corn Grits,3.69,3.0
495,BABY ITEMS,Olay Lotion Moisturizer,9.99,164.0
496,HEALTH CARE,Advil Pain Reliever,10.99,31.0
497,HEALTH CARE,Vaseline Petroleum Jelly Original,5.29,24.0
498,nan,Kellogg,3.54,
499,nan,Sensodyne Complete Protection Sensitivity Toothpaste,7.29,
500,nan,Muffin English Cinnamon Raisin,5.91,
501,GROCERIES,Vanilla Ice Cream,5.99,32.0
502,nan,Diet Dr Pepper Soda,12.94,
503,nan,Chocolate Chip Cookie Dough Bars,5.99,
504,nan,Glow Baby Booster Serum,14.19,
505,nan,Lipton,18.5,
506,COOKIES,Spice Deodorant,7.49,37.0
